세무서명,도로명 주소,우편번호,전화번호,팩스번호,세무서코드,계좌번호,관할구역
경기광주,경기도 광주시 문화로 127,12752,031-880-9200,031-769-0417,233,023744,"광주시, 하남시"
김포,경기도 김포시 김포한강1로 22 (장기동),10106,031-980-3200,031-987-9932,234,023760,"김포시, 인천시 강화군"
동고양,경기도 고양시 덕양구 화중로 104번길 16(화정동),10497,031-900-6200,031-963-2979,232,023757,고양시 덕양구
광명,경기도 광명시 철산로 3-12(철산동 251),14235,02-2610-8200,-,235,025195,광명시
기흥,경기도 용인시 기흥구 흥덕2로117번길 15(영덕동),16953,031-8007-1200,,236,026178,용인시 기흥구
대전청,대전광역시 대덕구 계족로 677 (법동),34383,042-615-2200,042-621-4552,300,080499,대전광역시 및 충청남ㆍ북도
대전,대전광역시 중구 보문로 331 (선화동),34851,042-229-8200,042-253-4990,305,080486,"대전광역시 동구, 중구, 충청남도 금산군"
서대전,대전광역시 서구 둔산서로 70 (둔산동),35239,042-480-8200,042-486-8067,314,081197,대전광역시 서구
청주,충청북도 청주시 흥덕구 죽천로 151 (복대동),28583,043-230-9200,043-235-5417,301,090337,"청주시 흥덕구, 서원구, 진천군"
동청주,충청북도 청주시 상당구 상당로 195 (북문로3가) 대한생명빌딩 5-6층,28537,043-229-4200,043-229-4601,317,002859,"청주시 상당구, 청원구, 증평군, 괴산군"
영동,충청북도 영동군 영동읍 계산로2길 5-6,29145,043-740-6200,043-740-6250,302,090311,"영동군, 옥천군, 보은군"
충주,충청북도 충주시 충원대로 724 (금릉동),27338,043-841-6200,043-847-9093,303,090340,"충주시, 음성군"
제천,충청북도 제천시 내토로41길 8 (화산동),27182,043-649-2200,043-643-6101,304,090324,"제천시, 단양군"
공주,충청남도 공주시 봉황로 113 (반죽동),32545,041-850-3200,041-850-3693,307,080460,충청남도 공주시
논산,충청남도 논산시 논산대로241번길 6 (강산동),32959,041-730-8200,041-733-3137,308,080473,"충청남도 논산시, 부여군, 계룡시"
보령,충청남도 보령시 옥마로 56 (명천동),33677,041-930-9200,041-931-0564,313,930154,"충청남도 보령시,서천군"
서산,충청남도 서산시 덕지천로 145-6 (석림동),32003,041-660-9200,041-666-0375,316,000602,"충청남도 서산시, 태안군"
홍성,충청남도 홍성군 홍성읍 홍덕서로 32,32216,041-630-4200,041-632-9964,310,930170,홍성군. 청양군
예산,충청남도 예산군 예산읍 주교로 64,32430,041-330-5200,041-334-0614,311,930167,"예산군, 당진시"
천안,충청남도 천안시 동남구 청수14로 80 (청당동),31198,041-559-8200,041-555-9556,312,935188,충청남도 천안시
아산,충청남도 아산시 배방읍 배방로 57-29(공수리 280-5),31486,041-536-7200,041-533-1351,319,024688,충청남도 아산시
북대전,대전광역시 유성구 북유성대로 188,34097,042-603-8200,042-823-9662,318,023773,"대덕구, 유성구"
세종,"세종특별자치시 가름로 232, B동 6층 (어진동, SBC빌딩)",30121,044-850-8200,044-850-8431,320,025467,세종특별자치시
광주청,광주광역시 북구 첨단과기로208번길 43 (오룡동),61011,062-370-5200,062-371-7500,400,060707,"광주광역시, 전라남도, 전라북도 전체"
광주,광주광역시 동구 중앙로 154 (호남동),61484,062-605-0200,062-605-0671,408,060639,"광주광역시 동구,남구,
전남 화순군,곡성군"
북광주,광주광역시 북구 금호로 70 (운암동),61114,062-5209-200,062-528-7619,409,060671,"광주광역시 북구, 장성군, 담양군 전체"
서광주,광주광역시 서구 상무민주로 6번길 31(쌍촌동),61969,062-380-5200,062-371-4701,410,060655,"광주광역시 서구,광산구, 전라남도 영광군"
군산,전라북도 군산시 해망로 583 (소룡동),54010,063-470-3200,063-465-4213,401,070399,군산시
전주,전라북도 전주시 완산구 서곡로 95 (효자동3가),54956,063-250-0200,063-277-7708,402,070438,"전주시 완산구,완주군"
북전주,전라북도 전주시 덕진구 벚꽃로 33 (진북동),54937,063-249-1200,063-249-1680,418,002862,"전주시 덕진구, 진안군, 무주군, 장수군 일부(천천, 계남, 계북, 장계면)"
익산,전라북도 익산시 익산대로52길 19 (남중동),54619,063-840-0200,063-851-0305,403,070425,"익산시, 김제시"
정읍,전라북도 정읍시 중앙1길 93 (수성동),56163,063-530-1200,063-533-9101,404,070441,"정읍시, 고창군, 부안군"
남원,전라북도 남원시 광한북로 94-23 (동충동),55762,063-620-2500,063-632-7302,407,070412,"남원시, 임실군, 순창군, 장수군 일부(장수읍, 산서, 번암)"
목포,전라남도 목포시 호남로 58번길 19 (대안동),58723,061-241-1200,061-244-5915,411,050144,"전라남도 목포시, 무안군, 신안군, 영암군 중 삼호읍"
나주,전라남도 나주시 재신길 33 (송월동),58262,061-330-0200,061-332-8570,412,060642,"나주시, 영암군(삼호면 제외), 함평군"
해남,전라남도 해남군 해남읍 중앙1로 18,59027,061-530-6200,061-536-6074,415,050157,"해남군, 완도군, 진도군, 강진군, 장흥군"
순천,전라남도 순천시 연향번영길 64 (연향동),57980,061-720-0200,061-723-6677,416,920300,"전라남도 순천시, 광양시, 구례군, 보성군, 고흥군"
여수,전라남도 여수시 좌수영로 948-5 (봉계동),59631,061-688-0200,061-682-1649,417,920313,여수시
대구청,대구광역시 달서구 화암로 301(대곡동),42768,053-661-7200,053-351-6218,500,040756,"동대구, 서대구, 남대구, 북대구, 경주, 포항, 구미, 경산, 안동, 김천, 상주, 영주, 영덕"
동대구,대구광역시 동구 국채보상로 895 (신천동),41253,053-749-0200,053-756-8837,502,040769,대구광역시 동구 
서대구,대구광역시 달서구 당산로 38길 33,42735,053-659-1200,053-627-6121,503,040798,"대구광역시 서구 전체, 경상북도 고령군 전체
대구광역시 달서구 갈산동, 감삼동, 두류동, 본리동, 성당동, 신당동, 용산동, 이곡동, 장기동, 장동, 죽전동, 파산동, 파호동, 호림동"
남대구,대구광역시 남구 대명로 55 (대명동),42479,053-659-0200,053-627-0157,514,040730,"대구광역시, 남구, 달성군, 달서구(월성동, 대천동, 월암동, 상인동, 도원동, 진천동, 대곡동, 유천동, 송현동, 본동)"
북대구,대구광역시 북구 원대로 118 (침산동),41590,053-350-4200,053-354-4190,504,040772,"대구광역시 북구, 중구"
수성,대구광역시 수성구 달구벌대로 2362(수성동3가),42115,053-749-6200,035-749-6602,516,026181,대구광역시 수성구
경산,경상북도 경산시 박물관로 3 (사동),38583,053-819-3200,053-802-8300,515,042330,"경산시, 청도군"
경주,경상북도 경주시 원화로 335 (성동동),38138,054-779-1200,054-743-4408,505,170176,"경주시, 영천시 전체"
포항,경북 포항시 중앙로 346 ,37727,054-245-2200,054-248-4040,506,170192,"포항시, 울릉군"
영덕,경상북도 영덕군 영덕읍 영덕로 35-11,36441,054-730-2200,054-730-2504,507,170189,"영덕군,울진군"
안동,경상북도 안동시 경동로 955(임시청사),36723,054-851-0200,054-859-6177,508,910365,"안동시, 의성군, 군위군, 청송군, 영양군"
김천,경상북도 김천시 평화길 128 (평화동),39610,054-420-3200,054-430-6605,510,905257,"김천시, 성주군"
구미,경상북도 구미시 수출대로 179 (공단동),39269,054-468-4200,054-464-0537,513,905244,"경상북도 구미시, 칠곡군"
상주,경상북도 상주시 경상대로 3173-11 (만산동),37161,054-530-0200,054-534-9026,511,905260,"경상북도 상주시, 문경시"
영주,경상북도 영주시 중앙로 15 (가흥동),36099,054-639-5200,054-633-0954,512,910378,"경북 영주시, 봉화군, 예천군 전지역"
부산청,부산광역시 연제구 연제로 12 (연산동),47605,051-750-7200,051-759-8400,600,030517,"부산광역시,울산광역시,경상남도,제주도"
중부산,부산광역시 중구 흑교로 64 (보수동1가),48962,051-240-0200,051-241-6009,602,030562,"중구: 광복동,남포동,대창동,대청동,동광동,보수동,부평동,신창동,영주동,중앙동,창선동
  영도구: 남항동,대교동,동삼동,대평동,봉래동,신선동,영선동,청학동"
서부산,부산광역시 서구 대영로 10(서대신동2가 288-2),49228,051-250-6200,051-241-7004,603,030546,"부산광역시 서구, 사하구"
부산진,부산광역시 동구 진성로 23 (수정동 247-7),48781,051-461-9200,051-467-1969,605,030520,"부산광역시 부산진구,동구"
수영,부산광역시 수영구 남천동로 19번길 28 (남천동),48306,051-620-9200,051-621-2593,617,030478,"부산광역시 남구, 수영구"
북부산,부산광역시 사상구 학감대로 263(감전동),46984,051-310-6200,051-328-0045,606,030533,"부산광역시 강서구, 북구, 사상구"
동래,부산광역시 연제구 거제천로269번길 16 (거제동),47517,051-860-2200,051-866-6252,607,030481,"부산광역시중 동래구, 연제구"
금정,부산광역시 금정구 중앙대로 1636 (부곡동),46272,051-580-6200,051-516-8272,621,031794,"부산광역시 금정구, 기장군"
해운대,"부산광역시 해운대구 달맞이길62번길 38 4,5F (중동)",48098,051-660-9200,051-660-9601,623,025470,부산광역시 해운대구 
울산,울산광역시 남구 갈밭로 49 (삼산동),44715,052-259-0200,052-274-2001,610,160021,울산광역와 울주군 중 동울산세무서 제외
동울산,울산광역시 북구 사청2길 7 (화봉동),44239,052-219-9200,052-289-8365,620,001601,"울산광역시 중구,동구,북구 울주군중 언양읍,범서읍 상북,삼남,삼동 두동 두서면"
마산,경상남도 창원시 마산합포구 해안대로 51 유로스퀘어 3층,51265,055-240-0200,055-223-6881,608,140672,"창원시 마산합포구, 창원시 마산회원구, 함안군, 의령군, 창녕군"
창원,경상남도 창원시 의창구 중앙대로209번길 16 (용호동),51430,055-239-0200,055-287-1394,609,140669,"창원시 성산구, 창원시 의창구, 창원시 진해구"
김해,경상남도 김해시 호계로 440 (부원동),50922,055-320-6200,055-335-2250,615,000178,"경상남도 김해시, 밀양시 전체"
거창,경상남도 거창군 거창읍 상동2길 14,50132,055-940-0200,055-944-0381,611,950419,"경남 거창군, 함양군, 합천군"
통영,경상남도 통영시 무전5길 20-9 (무전동),53036,055-640-7200,055-644-1814,612,140708,"통영시, 거제시, 고성군"
진주,경상남도 진주시 진주대로908번길 15 (칠암동),52724,055-751-0200,055-753-9009,613,950435,"진주시, 사천시, 산청군, 하동군, 남해군 전체"
양산,경상남도 양산시 물금읍 증산역로135,50653,055-389-6200,055-389-6602,624,026194,경상남도 양산시
제주,제주특별자치도 제주시 청사로 59 (도남동),63219,064-720-5200,064-724-1107,616,120171,제주도 전체
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
